sex,length,diameter,height,wholeWeight,shuckedWeight,visceraWeight,shellWeight,age
M,0.57,0.44,0.155,1.116,0.4775,0.2315,0.27,13
I,0.55,0.405,0.15,0.6755,0.3015,0.1465,0.21,10
F,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13
I,0.605,0.49,0.165,1.071,0.482,0.1935,0.352,10
F,0.575,0.465,0.195,0.9965,0.417,0.247,0.47,8
F,0.635,0.495,0.195,1.297,0.556,0.2985,0.37,11
I,0.315,0.23,0.09,0.1285,0.043,0.04,0.04,7
I,0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105,10
M,0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,13
M,0.475,0.365,0.14,0.6175,0.202,0.1445,0.19,16
M,0.505,0.39,0.105,0.6555,0.2595,0.18,0.19,11
M,0.31,0.245,0.095,0.15,0.0525,0.034,0.048,7
F,0.5,0.375,0.115,0.5945,0.185,0.148,0.19,11
I,0.36,0.275,0.095,0.217,0.084,0.0435,0.09,7
F,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,9
F,0.56,0.455,0.125,0.943,0.344,0.129,0.375,21
M,0.5,0.37,0.15,1.0615,0.494,0.223,0.296,9
M,0.59,0.465,0.14,1.046,0.4695,0.263,0.263,7
M,0.54,0.415,0.145,0.74,0.2635,0.168,0.245,12
F,0.505,0.405,0.18,0.606,0.239,0.1235,0.18,11
F,0.575,0.48,0.165,1.078,0.511,0.2095,0.306,9
M,0.525,0.415,0.16,0.6445,0.26,0.1575,0.22,12
I,0.515,0.4,0.125,0.5925,0.265,0.1175,0.168,9
M,0.69,0.53,0.19,1.5955,0.678,0.331,0.48,10
I,0.37,0.275,0.1,0.2295,0.0885,0.0465,0.07,7
I,0.475,0.375,0.11,0.456,0.182,0.099,0.16,9
F,0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,10
M,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16
F,0.745,0.585,0.19,1.966,0.8435,0.437,0.5855,18
F,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,23
M,0.5,0.42,0.135,0.6765,0.302,0.1415,0.2065,9
I,0.485,0.365,0.09,0.651,0.3165,0.132,0.18,8
F,0.525,0.41,0.135,0.7905,0.4065,0.198,0.177,8
I,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,7
I,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,7
I,0.41,0.335,0.105,0.3305,0.1405,0.064,0.105,7
I,0.53,0.42,0.185,0.752,0.299,0.156,0.205,20
F,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248,8
I,0.5,0.365,0.125,0.528,0.229,0.103,0.1645,9
M,0.53,0.405,0.13,0.738,0.2845,0.17,0.193,9
M,0.51,0.405,0.125,0.6925,0.327,0.155,0.1805,7
M,0.59,0.47,0.135,1.1685,0.539,0.279,0.28,8
M,0.695,0.53,0.21,1.51,0.664,0.4095,0.385,10
I,0.435,0.325,0.11,0.367,0.1595,0.08,0.105,6
F,0.645,0.505,0.165,1.4325,0.684,0.308,0.336,8
I,0.225,0.17,0.07,0.0565,0.024,0.013,0.016,4
I,0.475,0.365,0.125,0.5465,0.229,0.1185,0.172,9
F,0.655,0.5,0.18,1.4155,0.508,0.314,0.445,18
M,0.59,0.46,0.14,1.004,0.496,0.2165,0.26,9
I,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,5
M,0.37,0.29,0.09,0.241,0.11,0.045,0.069,10
M,0.535,0.44,0.165,0.875,0.279,0.18,0.3,10
F,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11
M,0.72,0.565,0.2,1.787,0.718,0.385,0.529,11
M,0.61,0.485,0.16,1.0145,0.5315,0.212,0.2415,8
F,0.665,0.53,0.18,1.491,0.6345,0.342,0.435,10
M,0.64,0.495,0.17,1.139,0.5395,0.282,0.285,10
M,0.5,0.39,0.135,0.7815,0.361,0.1575,0.2385,9
I,0.4,0.29,0.11,0.329,0.188,0.0455,0.0825,6
I,0.47,0.375,0.125,0.5225,0.2265,0.104,0.162,8
M,0.5,0.4,0.145,0.6025,0.216,0.138,0.21,11
M,0.63,0.515,0.165,1.352,0.488,0.349,0.45,20
M,0.565,0.44,0.125,0.802,0.3595,0.1825,0.215,9
M,0.54,0.42,0.135,0.8075,0.3485,0.1795,0.235,11
M,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095,5
I,0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225,9
F,0.57,0.44,0.14,0.9535,0.3785,0.201,0.305,17
M,0.43,0.335,0.12,0.397,0.1985,0.0865,0.1035,7
F,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371,8
M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
I,0.35,0.265,0.08,0.2,0.09,0.042,0.06,7
M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12
F,0.705,0.535,0.18,1.685,0.693,0.42,0.4045,12
M,0.57,0.415,0.13,0.88,0.4275,0.1955,0.238,13
M,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,10
I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8
F,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,5
M,0.595,0.475,0.14,1.0305,0.4925,0.217,0.278,10
M,0.615,0.47,0.145,1.0285,0.4435,0.2825,0.285,11
I,0.435,0.34,0.12,0.396,0.1775,0.081,0.125,8
I,0.415,0.315,0.105,0.33,0.1405,0.0705,0.095,6
F,0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135,10
M,0.535,0.42,0.16,0.72,0.275,0.164,0.225,15
M,0.6,0.47,0.175,1.105,0.4865,0.247,0.315,15
I,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,7
M,0.575,0.435,0.15,0.805,0.293,0.1625,0.27,17
F,0.615,0.515,0.135,1.1215,0.545,0.2305,0.29,9
M,0.525,0.425,0.19,0.872,0.4625,0.1725,0.199,9
I,0.55,0.42,0.135,0.816,0.3995,0.1485,0.23,12
I,0.45,0.35,0.125,0.4775,0.2235,0.089,0.118,6
I,0.28,0.205,0.08,0.127,0.052,0.039,0.042,9
I,0.395,0.27,0.1,0.2985,0.1445,0.061,0.082,5
I,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,5
F,0.605,0.485,0.165,1.0735,0.437,0.205,0.33,14
I,0.575,0.43,0.13,0.7425,0.2895,0.2005,0.22,8
M,0.6,0.495,0.175,1.3005,0.6195,0.284,0.3285,11
I,0.545,0.425,0.14,0.8145,0.305,0.231,0.244,10
F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10
F,0.68,0.55,0.175,1.473,0.713,0.282,0.4295,11
I,0.435,0.33,0.11,0.38,0.1515,0.0945,0.11,7
F,0.62,0.435,0.155,1.012,0.477,0.236,0.275,8
M,0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135,10
I,0.465,0.37,0.115,0.534,0.261,0.098,0.143,7
F,0.655,0.515,0.17,1.527,0.8485,0.2635,0.331,11
I,0.44,0.34,0.125,0.4895,0.1735,0.0875,0.2,13
F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12
M,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10
M,0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,9
I,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,5
I,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,10
F,0.62,0.465,0.14,1.1605,0.6005,0.2195,0.307,9
F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9
F,0.65,0.545,0.185,1.5055,0.6565,0.341,0.43,10
I,0.575,0.45,0.145,0.795,0.364,0.1505,0.26,10
F,0.615,0.5,0.165,1.1765,0.488,0.244,0.345,17
I,0.24,0.17,0.05,0.0545,0.0205,0.016,0.0155,5
M,0.545,0.42,0.145,0.778,0.3745,0.1545,0.205,7
F,0.655,0.52,0.2,1.5475,0.713,0.314,0.466,9
I,0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195,9
M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9
I,0.375,0.28,0.08,0.2165,0.0935,0.0925,0.07,7
F,0.66,0.505,0.19,1.4045,0.6255,0.3375,0.3745,9
M,0.32,0.24,0.08,0.18,0.08,0.0385,0.055,6
M,0.57,0.435,0.17,0.873,0.382,0.183,0.2705,10
F,0.585,0.45,0.145,0.9835,0.4845,0.242,0.22,9
M,0.77,0.6,0.215,2.1945,1.0515,0.482,0.584,10
F,0.62,0.48,0.165,1.043,0.4835,0.221,0.31,10
F,0.6,0.48,0.165,1.1345,0.4535,0.27,0.335,10
M,0.475,0.395,0.135,0.592,0.2465,0.1645,0.2,13
I,0.46,0.355,0.11,0.436,0.1975,0.096,0.125,8
F,0.655,0.515,0.155,1.309,0.524,0.346,0.385,11
M,0.37,0.28,0.105,0.224,0.0815,0.0575,0.075,8
M,0.55,0.45,0.155,0.7895,0.343,0.159,0.25,12
M,0.575,0.45,0.16,0.955,0.44,0.1685,0.27,16
F,0.495,0.375,0.15,0.597,0.2615,0.135,0.178,11
M,0.38,0.27,0.095,0.219,0.0835,0.0515,0.07,6
M,0.565,0.435,0.185,1.032,0.354,0.2045,0.31,20
F,0.645,0.52,0.19,1.3105,0.58,0.288,0.37,12
M,0.48,0.38,0.13,0.6175,0.3,0.142,0.175,12
I,0.48,0.355,0.115,0.4725,0.2065,0.112,0.132,8
F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15
F,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475,11
I,0.48,0.35,0.1,0.519,0.2365,0.1275,0.126,7
M,0.65,0.525,0.175,1.5365,0.6865,0.3585,0.405,11
M,0.645,0.51,0.195,1.226,0.5885,0.2215,0.3745,10
I,0.525,0.395,0.12,0.608,0.297,0.1395,0.1405,8
F,0.525,0.425,0.145,0.7995,0.3345,0.209,0.24,15
M,0.515,0.385,0.11,0.5785,0.253,0.16,0.14,8
F,0.6,0.475,0.155,1.21,0.653,0.1695,0.3205,10
M,0.61,0.48,0.165,1.2435,0.5575,0.2675,0.372,8
M,0.65,0.515,0.125,1.1805,0.5235,0.283,0.3275,9
F,0.4,0.335,0.115,0.4335,0.2105,0.1205,0.12,10
F,0.47,0.36,0.1,0.4705,0.1635,0.089,0.1385,8
F,0.59,0.465,0.17,1.0425,0.4635,0.24,0.27,10
I,0.185,0.13,0.045,0.029,0.012,0.0075,0.0095,4
F,0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,6
M,0.55,0.45,0.17,0.81,0.317,0.157,0.22,11
M,0.54,0.41,0.145,0.989,0.2815,0.213,0.355,19
M,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,9
F,0.595,0.44,0.135,0.964,0.5005,0.1715,0.2575,10
F,0.69,0.54,0.185,1.5715,0.6935,0.318,0.47,15
F,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,8
M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7
M,0.605,0.475,0.175,1.2525,0.5575,0.3055,0.343,9
M,0.565,0.455,0.155,0.9355,0.421,0.183,0.26,11
M,0.61,0.47,0.165,1.052,0.498,0.242,0.267,9
F,0.63,0.505,0.195,1.306,0.516,0.3305,0.375,9
M,0.43,0.33,0.095,0.34,0.1315,0.085,0.112,14
F,0.545,0.43,0.14,0.832,0.4355,0.17,0.201,9
I,0.375,0.29,0.1,0.219,0.0925,0.038,0.075,6
I,0.235,0.175,0.065,0.0615,0.0205,0.02,0.019,6
I,0.35,0.235,0.08,0.17,0.0725,0.0465,0.0495,7
I,0.57,0.42,0.13,0.7745,0.3535,0.1505,0.2365,9
M,0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155,7
I,0.435,0.335,0.1,0.3295,0.129,0.07,0.11,7
M,0.55,0.46,0.13,0.7085,0.305,0.1455,0.205,12
I,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6
I,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,8
F,0.48,0.385,0.135,0.536,0.1895,0.142,0.173,14
M,0.575,0.47,0.185,0.985,0.3745,0.2175,0.355,10
F,0.575,0.43,0.155,0.7955,0.3485,0.1925,0.22,9
I,0.525,0.405,0.125,0.657,0.2985,0.1505,0.168,10
I,0.37,0.28,0.09,0.233,0.0905,0.0545,0.07,11
I,0.405,0.31,0.11,0.91,0.416,0.2075,0.0995,8
I,0.55,0.415,0.145,0.7815,0.373,0.16,0.2215,8
M,0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29,16
I,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5
F,0.65,0.5,0.16,1.3825,0.702,0.304,0.3195,9
M,0.64,0.505,0.155,1.1955,0.5565,0.211,0.346,11
F,0.565,0.46,0.15,0.8765,0.3455,0.1925,0.275,10
F,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,17
I,0.53,0.395,0.125,0.6235,0.2975,0.108,0.195,11
I,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285,8
M,0.62,0.48,0.15,1.266,0.6285,0.2575,0.309,12
I,0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,7
I,0.415,0.325,0.1,0.385,0.167,0.08,0.125,7
I,0.385,0.29,0.085,0.2505,0.112,0.061,0.08,8
M,0.51,0.38,0.135,0.681,0.3435,0.142,0.17,9
F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10
F,0.66,0.525,0.16,1.277,0.4975,0.319,0.394,13
I,0.45,0.33,0.105,0.448,0.208,0.089,0.12,9
I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8
M,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11
F,0.525,0.405,0.115,0.72,0.3105,0.1915,0.2,14
M,0.425,0.33,0.08,0.361,0.134,0.0825,0.125,7
M,0.555,0.44,0.14,0.8705,0.407,0.156,0.255,9
M,0.62,0.48,0.165,1.0855,0.481,0.2575,0.305,10
M,0.725,0.565,0.215,1.891,0.6975,0.4725,0.58,16
M,0.56,0.425,0.135,0.849,0.3265,0.221,0.2645,10
M,0.645,0.5,0.175,1.3375,0.554,0.308,0.415,10
M,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,22
M,0.425,0.34,0.12,0.388,0.149,0.087,0.125,10
F,0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,8
F,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,16
M,0.72,0.565,0.19,2.081,1.0815,0.4305,0.503,11
M,0.68,0.52,0.165,1.4775,0.724,0.279,0.406,11
M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8
I,0.425,0.325,0.11,0.3335,0.173,0.045,0.1,7
M,0.41,0.335,0.115,0.4405,0.19,0.085,0.135,8
M,0.64,0.515,0.165,1.369,0.632,0.3415,0.358,10
M,0.66,0.515,0.165,1.4465,0.694,0.298,0.3755,10
I,0.385,0.3,0.095,0.302,0.152,0.0615,0.0735,7
M,0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,9
M,0.57,0.45,0.145,0.95,0.4005,0.2235,0.2845,10
M,0.72,0.55,0.205,2.125,1.1455,0.4425,0.511,13
F,0.61,0.485,0.165,1.087,0.4255,0.232,0.38,11
I,0.525,0.43,0.15,0.7365,0.3225,0.161,0.215,11
F,0.705,0.555,0.195,1.7525,0.7105,0.4215,0.516,12
I,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,8
I,0.475,0.365,0.12,0.5185,0.268,0.1095,0.1365,8
I,0.36,0.26,0.08,0.1795,0.074,0.0315,0.06,5
I,0.495,0.38,0.145,0.515,0.175,0.098,0.212,13
F,0.515,0.395,0.165,0.7565,0.1905,0.17,0.3205,10
M,0.41,0.325,0.1,0.3555,0.146,0.072,0.105,9
I,0.55,0.43,0.145,0.712,0.3025,0.152,0.225,10
M,0.455,0.35,0.11,0.458,0.2,0.111,0.1305,8
F,0.615,0.475,0.145,0.9525,0.3915,0.195,0.32,9
M,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175,8
I,0.45,0.335,0.11,0.4195,0.181,0.085,0.1345,7
M,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,9
I,0.485,0.37,0.1,0.513,0.219,0.1075,0.13,7
I,0.285,0.205,0.07,0.106,0.039,0.0285,0.034,5
M,0.545,0.45,0.15,0.7805,0.3795,0.1625,0.216,8
F,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,9
F,0.395,0.295,0.095,0.2245,0.078,0.054,0.08,10
M,0.67,0.51,0.2,1.5945,0.6705,0.3845,0.4505,10
M,0.6,0.47,0.16,1.012,0.441,0.2015,0.305,10
F,0.57,0.435,0.14,0.8585,0.3905,0.196,0.2295,8
I,0.465,0.355,0.12,0.5805,0.255,0.0915,0.184,8
I,0.43,0.34,0.105,0.4405,0.2385,0.0745,0.1075,6
I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9
I,0.285,0.215,0.07,0.1075,0.051,0.0225,0.027,6
M,0.715,0.52,0.18,1.6,0.708,0.3525,0.445,12
I,0.375,0.28,0.085,0.2145,0.0855,0.0485,0.072,7
I,0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235,12
I,0.375,0.28,0.08,0.2025,0.0825,0.048,0.065,8
M,0.455,0.375,0.125,0.484,0.2155,0.102,0.165,7
I,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,6
I,0.44,0.355,0.165,0.435,0.159,0.105,0.14,16
I,0.365,0.28,0.09,0.196,0.0865,0.036,0.0605,7
F,0.64,0.5,0.18,1.4995,0.593,0.314,0.431,11
M,0.52,0.4,0.105,0.872,0.4515,0.1615,0.1985,9
I,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,18
M,0.62,0.47,0.135,1.0195,0.5315,0.2005,0.2475,8
M,0.745,0.565,0.215,1.931,0.896,0.4585,0.5,11
M,0.555,0.435,0.145,0.9685,0.4985,0.168,0.2385,9
M,0.615,0.495,0.155,1.2865,0.435,0.293,0.3245,11
M,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10
M,0.65,0.495,0.18,1.793,0.8005,0.339,0.53,14
F,0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815,9
M,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,12
M,0.7,0.6,0.23,2.003,0.8105,0.4045,0.5755,10
F,0.665,0.555,0.195,1.4385,0.581,0.354,0.36,17
M,0.69,0.54,0.185,1.6195,0.533,0.353,0.555,24
M,0.625,0.495,0.155,1.177,0.5055,0.278,0.345,9
I,0.425,0.315,0.08,0.303,0.131,0.0585,0.095,7
F,0.61,0.48,0.175,1.0675,0.391,0.216,0.42,15
M,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235,16
M,0.5,0.4,0.125,0.5975,0.27,0.1275,0.166,9
F,0.6,0.475,0.17,1.088,0.4905,0.2475,0.31,10
F,0.63,0.485,0.17,1.3205,0.5945,0.345,0.345,9
M,0.62,0.485,0.155,1.0295,0.425,0.2315,0.335,12
F,0.66,0.53,0.185,1.346,0.546,0.2705,0.476,11
M,0.585,0.47,0.145,0.9565,0.4025,0.2365,0.265,9
M,0.585,0.455,0.145,0.953,0.3945,0.2685,0.258,10
M,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,8
I,0.275,0.2,0.065,0.092,0.0385,0.0235,0.027,5
